strain	divergence	excess divergence	#Ns	#gaps	clusters	gaps	all_snps
USA/WA-UW-1296/2020	10	2.6	0	0			4989,8781,17746,17857,18059,19324,25251,27397,27524,28143
mink/Netherlands/NB01_01KS/2020	10	-0.27	0	134		27538-27672	240,1379,3036,6893,14273,14407,23402,24861,26077,29836
USA/VA-DCLS-0067/2020	10	1.64	0	0			240,312,3036,7814,14407,23402,28880,28881,28882,29613
USA/CT-UW-5773/2020	10	1.44	0	0			240,1058,3036,6330,10850,14182,14407,23402,25562,29198
USA/LA_0842/2020	10	3.22	0	0			240,1058,3036,10318,14011,14407,17893,23402,25562,27963
Australia/VIC295/2020	10	2.26	2	0			4539,8781,9476,12273,14804,25978,28143,28310,28656,28862
Australia/VIC1139/2020	10	1.16	185	0			240,1058,3036,8184,14407,17379,21930,23402,23784,25562
USA/MI-MDHHS-SC20242/2020	10	2.26	0	0			489,921,3176,8781,18735,24033,26728,28076,28143,29699
Australia/VIC1000/2020	10	1.71	64	0			240,3036,7437,14407,15165,21136,23402,26863,28258,29352
USA/WA-UW225/2020	9	1.81	3	0			8781,15926,17746,17857,18059,19268,26935,27721,28143
India/GBRC20/2020	9	-1.07	11	0			240,3036,10477,10478,14407,18876,23402,25562,26734
USA/CA-CDPH-UC8/2020	9	2.49	800	0			3045,8781,16466,16974,17746,17857,18059,23184,28143
USA/WA-UW-4414/2020	9	0.71	0	0			240,1058,3036,5193,11806,14407,23402,23439,25562
USA/WA-UW-5025/2020	9	0.23	43	0			240,1058,1436,3036,6039,11035,14407,23402,25562
USA/WA-UW-1329/2020	9	1.74	0	0			240,1058,3036,6285,11082,14407,23402,25562,28310
USA/WA-UW-1315/2020	9	1.74	5	0			8781,15737,17746,17857,18059,21641,27524,28143,28654
SriLanka/COV38/2020	9	1.74	0	0			1396,5985,11082,18983,20482,26180,28687,29464,29741
Malaysia/189332/2020	9	1.47	0	0			2736,6309,6311,11082,13729,13974,19523,23928,28310
India/nimh-3952/2020	9	-0.86	526	0			240,3036,3633,3741,14407,16944,20708,23402,23634
mink/Netherlands/NB02_06KS/2020	9	-1.27	0	3		1603-1606	513,6351,10828,12794,17409,22343,22919,25517,29684
Greece/41_36861/2020	9	0.92	10	0			240,3036,10869,14407,14785,23402,28880,28881,28882
USA/WA-UW42/2020	9	2.22	31	0			149,152,3634,8781,15848,17746,17857,18059,28143
USA/WA-UW-3814/2020	9	1.05	0	0			1928,5783,8781,17746,17857,18059,23524,26729,28143
USA/CA-CDPH-UC11/2020	9	2.49	2	0			3045,8781,16466,16974,17746,17857,18059,23184,28143
Thailand/SI204487-NT/2020	9	2.08	106	0			1514,9222,11082,14596,14804,17246,17798,26143,28614
USA/CA-CZB-1136/2020	9	0.99	0	0			240,1058,3036,14407,17409,19609,23402,25562,27963
France/10023FD/2020	9	2.77	0	0			240,1058,3036,10932,14407,17141,22706,23402,25562
USA/WA-UW-6491/2020	9	0.51	0	0			240,1058,3036,12879,14407,23402,25562,25723,29552
Australia/VIC47/2020	9	2.01	9	0			2479,2557,6970,6974,6976,9169,14804,23754,26143
Australia/VIC546/2020	9	1.19	1312	0			240,1058,1391,3036,3250,14407,23402,25562,26624
Australia/VIC479/2020	9	0.92	2148	0			240,3036,7437,14407,15165,15719,23402,26863,29352
USA/NY-PV09176/2020	9	1.53	115	0			240,1058,3036,11915,14407,18997,23402,25562,29539
USA/NY-PV09161/2020	9	1.33	1209	0			240,2415,3036,12111,14407,21973,23402,25562,26232
USA/ID-UW-4547/2020	9	0.85	522	0			240,832,1058,3036,4682,14407,23402,25562,27963
Australia/VIC720/2020	9	0.92	325	0			240,1513,3036,14407,23402,27045,28880,28881,28882
Australia/VIC808/2020	9	0.92	201	0			3095,11082,12780,13626,14804,15539,17943,26143,28337
USA/ID-UW-6472/2020	9	0.58	19	0			240,832,1058,3036,10964,14407,23402,25562,27963
Australia/VIC29/2020	9	2.15	4	0			240,3036,11637,14407,23402,28880,28881,28882,29707
Australia/VIC1135/2020	9	0.16	1	0			240,832,1058,3036,14407,16699,23402,25562,27963
Australia/VIC1175/2020	9	0.03	529	0			240,1593,3036,8289,11108,14407,18787,23402,25562
Australia/VIC616/2020	9	1.05	2177	0			240,2506,3036,3372,14407,23402,28880,28881,28882
Australia/VIC662/2020	9	0.99	185	0			6694,8781,17746,17857,18059,23125,24693,28143,28999
USA/CA-CZB0147/2020	9	0.16	0	0			240,1058,1684,2017,3036,14407,17148,23402,25562
USA/CA-CZB0750/2020	9	0.51	0	0			240,1058,3036,11915,13251,14407,23402,23603,25562
USA/CT-UW-4347/2020	9	0.78	0	0			240,1058,3036,14407,21293,21294,21295,23402,25562
USA/CT-UW-4343/2020	9	0.78	0	9		684-693	240,1058,2807,3036,3144,14407,23402,25562,26432
USA/NY-PV09121/2020	9	1.53	355	0			240,1058,3036,11915,14407,18997,23402,25562,29539
USA/SC_3569/2020	9	2.42	0	0			489,3176,8781,18735,24033,26728,28076,28143,29699
Australia/VIC248/2020	9	1.4	9	0			240,1058,3036,10850,14407,20930,23402,23438,25562
Australia/VIC127/2020	9	1.47	284	0			2479,2557,6970,6974,6976,9169,11082,14804,26143
USA/WA-UW227/2020	8	0.81	0	0			240,1058,3036,10318,14407,23402,25562,27963
USA/WA-UW50/2020	8	1.29	0	0			2152,3888,8781,17746,17857,18059,27166,28143
USA/WI-UW-261/2020	8	0.05	17	0			240,1058,3036,6813,11082,14407,23402,25562
USA/WI-UW-360/2020	8	-1.52	17	0			240,3036,14407,15353,18876,23402,25562,28797
USA/WI-UW-351/2020	8	-1.25	17	0			240,3036,11416,14072,14407,23402,23946,29253
India/GBRC26/2020	8	-2.07	44	0			240,3036,10276,14407,18876,23402,25562,26734
India/GBRC51/2020	8	-2.48	11	0			240,3036,14407,18876,23402,25562,26734,28310
India/GBRC56a/2020	8	-2.55	11	0			240,3036,8682,12805,14407,21599,23402,28844
India/GBRC14/2020	8	-2.14	164	0			3842,6311,11082,11199,13729,16016,23928,28310
Australia/VIC824/2020	8	-0.49	5	0			240,1058,3036,10850,14182,14407,23402,25562
Australia/VIC851/2020	8	-0.56	535	0			240,3036,14407,23402,28880,28881,28882,29258
USA/WA-UW-4291/2020	8	-0.29	0	0			240,1058,3036,12879,14407,23402,25562,29552
USA/WA-UW-4593/2020	8	-0.29	0	0			240,1058,3036,14407,16288,23402,25562,29552
USA/WA-UW-4549/2020	8	-0.29	0	0			240,1058,3036,14407,16749,23402,25562,29552
USA/WA-UW-1567/2020	8	0.53	9	0			240,1058,3036,14407,16911,23402,25562,29552
USA/VA-DCLS-0188/2020	8	-0.36	0	0			240,1058,1916,3036,5727,14407,23402,25562
Japan/P4-6/2020	8	0.47	0	0			240,3036,14407,23247,23402,28880,28881,28882
Spain/Valencia002/2020	8	1.56	1608	0			8781,9476,14804,24380,25978,28143,28656,28862
India/GBRC9/2020	8	-1.73	52	0			240,3036,3954,4865,14407,14424,23402,29539
India/GBRC96/2020	8	-2.96	85	0			6307,6311,6700,11082,20676,23928,27846,28310
Guam/GU-NHG-01/2020	8	0.05	0	0			6311,8854,10581,11082,12932,13729,23928,28310
Greece/248_32261/2020	8	1.15	10	0			240,3036,6311,14407,15592,18876,23402,25562
USA/WA-UW337/2020	8	0.19	0	0			240,1058,3036,14407,23402,25562,27803,29552
USA/WA-UW-2212/2020	8	0.12	0	0			240,1058,3036,3697,14407,23402,25562,29552
USA/WA-UW-3889/2020	8	-0.01	46	0			240,1058,3036,12879,14407,23402,25562,29552
USA/WA-UW-3855/2020	8	0.05	0	0			240,1058,3036,6311,14407,23402,25562,29552
USA/WA-UW-3881/2020	8	0.12	0	0			240,1058,3036,14407,23402,25562,28471,29552
USA/WA-UW-3900/2020	8	-0.01	0	0			5783,8781,16956,17746,17857,18059,26729,28143
Taiwan/CGMH-CGU-07/2020	8	1.22	0	0			1058,1396,11082,19546,23933,28647,28687,29741
USA/AK153/2020	8	-0.77	0	0			240,1058,3036,14407,23402,25522,25562,27868
Thailand/SI204514-NT/2020	8	1.01	18	0			894,2941,4389,8781,9597,20133,24046,28143
Thailand/SI204512-NT/2020	8	1.01	121	0			240,3036,14407,20397,21155,23402,24055,26529
USA/VA-DCLS-0077/2020	8	-0.36	2	0			240,2415,3036,4522,10711,14407,23402,25562
USA/VA-DCLS-0053/2020	8	1.77	0	0			240,1917,3036,14407,18876,23402,25562,28299
USA/CA-CZB-1111/2020	8	-2.34	186	0			105,1642,8781,17746,17857,18059,24693,28143
China/Wuhan_YB012611/2020	8	4.16	0	0			1622,3298,20691,25155,29843,29844,29846,29847
Australia/VIC975/2020	8	-0.08	194	0			240,3036,7437,14407,15165,23402,26863,29352
USA/WA-UW-5169/2020	8	-0.42	0	0			240,1058,3036,14407,23402,25562,27629,29552
USA/WA-UW155/2020	8	1.01	0	0			240,1058,3036,14407,23402,24347,25562,29552
USA/WA-UW198/2020	8	1.01	0	0			331,5783,8781,17746,17857,18059,20822,28143
USA/NY-PV09145/2020	8	0.47	78	0			182,240,1058,3036,7727,14407,23402,25562
USA/NY-PV08124/2020	8	0.88	74	0			240,3036,10264,14407,23402,28880,28881,28882
USA/FL_5125/2020	8	1.9	0	0			240,312,3036,14407,23402,28880,28881,28882
USA/GA_2742/2020	8	1.84	0	0			240,3036,14407,18897,23402,28880,28881,28882
Australia/VIC716/2020	8	-0.01	190	0			1367,6989,14804,20735,23706,23995,25597,26143
Australia/VIC800/2020	8	-0.36	199	0			240,3036,7437,14407,15165,23402,26863,29352
Australia/VIC803/2020	8	-0.36	579	0			240,3036,7437,14407,15165,23402,26863,29352
USA/LA-EVTL01/2020	8	-0.9	0	0			240,1058,3036,10318,14407,23402,25562,27963
USA/LA-BIE-072/2020	8	-0.84	1113	0			240,1058,3036,14407,18280,23402,25562,27963
USA/ID-UW-4552/2020	8	-0.15	0	0			240,832,1058,3036,14407,23402,25562,27963
USA/MI-MDHHS-SC20020/2020	8	0.95	270	0			240,832,1058,3036,14407,23402,25562,27963
Australia/VIC1062/2020	8	-0.56	0	0			240,3036,13209,13347,14407,20267,23402,29259
Australia/VIC1251/2020	8	-0.97	1647	0			4539,9476,14804,25978,28143,28310,28656,28862
USA/MI-MDHHS-SC20259/2020	8	0.05	0	0			240,3036,14407,15353,18876,23402,25562,29076
USA/MI-MDHHS-SC20186/2020	8	0.26	877	0			2479,2557,4911,11082,14804,17009,21574,26143
Australia/VIC548/2020	8	0.12	267	0			240,3036,7041,14407,23402,28880,28881,28882
Australia/VIC549/2020	8	0.26	574	0			100,240,1058,3036,11915,14407,23402,25562
USA/CA-CZB0137/2020	8	-0.84	0	0			240,832,1058,3036,14407,23402,25562,27963
USA/CA-CZB076/2020	8	-0.08	173	0			7282,8781,12896,17746,17857,18059,28143,29217
USA/UT-00297/2020	8	0.19	269	0			240,1058,3036,11918,14407,21997,23402,25562
Australia/VIC367/2020	8	0.33	2	0			8781,9476,14804,25978,28143,28656,28759,28862
Australia/VIC322/2020	8	0.19	10	0			1514,6078,9222,11082,14223,14804,17246,26143
USA/MI-MDHHS-SC20357/2020	8	-0.22	39	0			240,1058,3036,14407,16646,17288,23402,25562
USA/MI-MDHHS-SC20356/2020	8	-0.22	12	0			240,1058,3036,9890,14407,23402,25562,29626
Australia/VIC1048/2020	8	-0.49	284	0			240,3036,7437,14407,15165,23402,26863,29352
Australia/VIC1038/2020	8	-0.49	491	0			240,3036,14407,23402,26995,28880,28881,28882
USA/MI-MDHHS-SC20090/2020	8	-0.08	980	0			240,3036,9923,14407,15353,18876,23402,25562
Greece/139_32716/2020	7	0.01	10	0			240,3036,14407,23402,28880,28881,28882
USA/WA-UW255/2020	7	-0.26	157	0			8781,17746,17857,18059,19631,23988,28143
USA/WA-UW265/2020	7	-0.26	0	0			8781,14603,17746,17857,18059,21910,28143
USA/WA-UW282/2020	7	-0.19	2	0			240,1058,3036,14407,23402,25562,29552
Australia/VIC927/2020	7	-1.22	250	0			240,1058,3036,14407,17192,23402,25562
USA/WA-UW-4213/2020	7	-1.29	0	0			240,1058,3036,6039,14407,23402,25562
USA/WA-UW-4026/2020	7	-1.15	0	0			8781,9165,14881,17746,17857,18059,28143
USA/WA-UW-4897/2020	7	-1.84	429	0			1058,3036,14407,23402,25562,27629,29552
USA/WA-UW-1319/2020	7	-0.33	52	0			832,1058,3036,14407,23402,25562,27963
USA/WA-UW-1322/2020	7	-0.4	0	0			240,1058,3036,14407,15759,23402,25562
USA/WA-UW-1593/2020	7	-0.47	134	0			240,3036,4808,14407,18876,23402,25562
USA/VA-DCLS-0185/2020	7	-1.36	0	0			240,1058,1916,3036,14407,23402,25562
USA/VA-DCLS-0197/2020	7	-1.36	0	0			240,2415,3036,14407,23402,25562,26232
USA/VA-DCLS-0199/2020	7	-1.36	0	0			240,2415,3036,14407,23402,25562,26232
USA/VA-DCLS-0205/2020	7	-1.36	0	0			240,2415,3036,14407,23402,25562,26232
Jamaica/JM-CDC-7286/2020	7	-0.33	0	0			240,1058,3036,14407,23402,25562,27212
Spain/Valencia003/2020	7	0.49	18	0			8781,9476,14804,25978,28143,28656,28862
Spain/Valencia8/2020	7	0.56	17	0			8781,9476,14804,25978,28143,28656,28862
India/GMCTC469/2020	7	-0.53	0	0			240,3036,14407,23402,28880,28881,28882
India/nimh-2873/2020	7	-2.73	498	0			1280,4157,13729,23928,26381,26466,28310
Greece/222_33921/2020	7	-0.12	49	0			240,3036,14407,23402,28880,28881,28882
Greece/259_31928/2020	7	0.22	10	0			240,3036,14407,23402,28880,28881,28882
Greece/37_35684/2020	7	-0.53	10	0			240,3036,14407,23402,28880,28881,28882
Greece/227_35969/2020	7	-0.67	27	0			240,3036,14407,23402,28880,28881,28882
Greece/246_32206/2020	7	0.15	10	0			240,3036,5182,14407,18876,23402,25562
Greece/226_35576/2020	7	-0.47	10	0			2479,2557,11082,14266,14804,16094,26143
USA/WA-UW288/2020	7	-0.19	0	0			240,1058,3036,14407,23402,25562,29552
USA/WA-UW286/2020	7	-0.19	58	0			2060,8781,17746,17857,18059,23009,28143
USA/WA-UW323/2020	7	-0.26	0	0			8781,16328,17746,17857,18059,23009,28143
USA/WA-UW-3819/2020	7	-0.95	4	0			240,1058,3036,14407,23402,25562,29552
USA/WA-UW-2234/2020	7	-0.81	3	0			218,240,1058,3036,14407,23402,25562
USA/WA-UW-2164/2020	7	-0.88	59	0			8781,12024,17746,17857,18059,28143,28702
USA/AZ-ASU2923/2020	7	-0.26	223	81		27402-27483	240,3036,14407,23402,28880,28881,28882
USA/VA-DCLS-0007/2020	7	0.77	162	0			240,1058,3036,14407,14924,23402,25562
USA/VA-DCLS-0038/2020	7	0.77	0	0			240,1058,3036,14407,14924,23402,25562
USA/WA-UW-5166/2020	7	-1.42	31	0			240,1058,3036,14407,23402,25562,29552
USA/WA-UW210/2020	7	-0.12	0	0			240,1058,3036,9510,14407,23402,25562
USA/WA-UW-5756/2020	7	-1.77	0	0			240,1058,3036,14407,20133,23402,25562
Australia/VIC443/2020	7	-1.01	207	0			240,3036,14407,23402,28880,28881,28882
Australia/VIC534/2020	7	-0.88	471	0			240,3036,7437,14407,23402,26863,29352
Australia/VIC498/2020	7	-0.74	66	0			240,1058,3036,10850,14407,23402,25562
Australia/VIC544/2020	7	-0.74	338	0			240,1058,2522,3036,14407,23402,25562
USA/NY-PV09307/2020	7	-0.67	95	0			240,3036,10334,14407,18876,23402,25562
USA/NY-PV09179/2020	7	-0.47	549	0			240,1058,2631,3036,14407,23402,25562
USA/OR-UW409/2020	7	-1.01	133	0			240,1058,3036,14407,23402,25562,29552
USA/NY-PV08120/2020	7	-0.33	26	0			240,1058,3036,14407,23402,25562,25687
USA/NY-PV08138/2020	7	-0.05	72	0			240,1058,3036,14407,20754,23402,25562
USA/FL_9656/2020	7	0.42	0	0			8781,16466,17746,17857,18059,23184,28143
USA/CT-UW423/2020	7	-1.08	0	0			5097,8781,17746,17857,18059,21254,28143
USA/CT-UW-5043/2020	7	-1.7	159	0			1058,3036,6025,14407,23402,25562,28835
Australia/VIC254/2020	7	-0.6	3	0			240,3036,14407,20267,23402,24120,28853
Australia/VIC302/2020	7	-0.74	4	0			240,3036,14407,15323,22917,23402,28689
Australia/VIC312/2020	7	-0.74	14	0			240,3036,14407,15323,23402,23556,28689
Australia/VIC259/2020	7	-0.6	14	0			240,1058,3036,14407,21710,23402,25562
Australia/VIC300/2020	7	-0.74	13	0			240,3036,3783,14407,20267,23402,28650
Australia/VIC306/2020	7	-0.74	51	0			240,1058,2522,3036,14407,23402,25562
USA/MI-MDHHS-SC20239/2020	7	-0.81	3	0			240,1058,3036,14407,18794,23402,25562
USA/MI-MDHHS-SC20170/2020	7	-0.81	295	0			240,1058,3036,14407,23402,25562,27846
USA/MI-MDHHS-SC20224/2020	7	-0.19	48	0			240,1058,3036,14407,15215,23402,25562
Australia/VIC68/2020	7	-0.05	8	0			8781,17746,17857,18059,24693,25339,28143
Australia/VIC583/2020	7	-0.88	274	0			240,3036,5038,14407,15759,20267,23402
USA/CA-CZB091/2020	7	-1.08	0	0			8781,17746,17857,18059,19951,24094,28143
USA/CT-UW-4244/2020	7	-1.29	0	0			240,1058,3036,14407,23402,25562,28088
USA/NY-PV09029/2020	7	-0.6	78	0			240,1058,3036,14407,23402,23452,25562
USA/NY-PV09044/2020	7	-0.6	79	0			240,1058,3036,14407,19882,23402,25562
USA/NY-PV09122/2020	7	-0.47	75	0			240,3036,4543,14407,20267,23402,29742
USA/NY-PV09143/2020	7	-0.53	95	0			240,1058,3036,14407,20754,23402,25562
USA/NY-PV09116/2020	7	-0.47	74	0			240,3036,14407,23402,28880,28881,28882
USA/NY-PV09144/2020	7	-0.53	74	0			240,1058,3036,14407,23402,25562,29510
USA/UT-00348/2020	7	-1.01	270	0			240,2415,3036,14407,23402,25562,29613
Australia/VIC319/2020	7	-0.81	2	0			240,3036,7437,14407,23402,26863,29352
Australia/VIC380/2020	7	-0.74	532	0			240,1058,3036,14407,19262,23402,25562
USA/MI-MDHHS-SC20284/2020	7	-1.7	281	0			240,1058,3036,14407,23402,25562,27531
USA/MI-MDHHS-SC20360/2020	7	-0.05	1536	0			240,1058,3036,14407,23402,25562,25975
USA/MI-MDHHS-SC20302/2020	7	-0.88	306	0			240,1058,3036,14407,23402,23663,25562
Australia/VIC1018/2020	7	-1.36	188	0			240,3036,14407,15323,22917,23402,28689
Australia/VIC157/2020	7	-0.33	18	0			240,3036,14407,17103,20267,23402,29733
USA/MI-MDHHS-SC20148/2020	7	-0.81	18	0			240,3036,14407,20267,23402,26312,28862
USA/MI-MDHHS-SC20085/2020	7	-1.01	830	0			240,1058,3036,14407,23402,25562,25975
USA/MI-MDHHS-SC20126/2020	7	-0.74	601	0			240,1058,3036,14407,23402,25562,27846
France/40003KA/2020	6	-0.23	0	0			240,1058,3036,14407,23402,25562
France/10041MR/2020	6	-0.23	0	0			6039,6311,11082,13729,23928,28310
USA/WA-UW223/2020	6	-1.05	0	0			240,3036,14407,18876,23402,25562
USA/WA-UW259/2020	6	-1.12	0	0			240,1058,3036,14407,23402,25562
USA/WI-UW-268/2020	6	-2.7	17	0			240,1058,3036,14407,23402,25562
USA/WA_5030/2020	6	-0.03	0	0			2445,3410,5571,11082,14804,26143
USA/WA-UW-4407/2020	6	-2.29	0	0			240,1058,3036,14407,23402,25562
USA/WA-UW-4067/2020	6	-2.36	0	0			8781,10843,17746,17857,18059,28143
USA/WA-UW-2082/2020	6	-1.88	221	0			8781,17426,17746,17857,18059,28143
USA/WA-UW-1599/2020	6	-1.4	0	0			8781,11319,17746,17857,18059,28143
USA/WA-NH17/2020	6	-1.05	0	0			8781,11319,17746,17857,18059,28143
USA/WA-NH5/2020	6	-1.05	0	0			8781,13844,17746,17857,18059,28143
Spain/Valencia22/2020	6	-0.78	1172	0			8781,9476,14804,25978,28143,28862
India/GMC-KP1125/2020	6	-1.81	1	0			240,3036,14407,18876,23402,25562
India/GBRC88a/2020	6	-4.55	11	0			217,240,3036,14407,14672,23402
USA/WA-UW338/2020	6	-1.26	4	0			8781,17746,17857,18059,23009,28143
USA/WA-UW46/2020	6	-0.78	0	0			8781,17746,17857,18059,27383,28143
USA/WA-UW340/2020	6	-1.53	5	0			8781,17746,17857,18059,25063,28143
USA/WA-UW384/2020	6	-1.26	0	0			8601,8781,17746,17857,18059,28143
USA/WA-UW-2218/2020	6	-1.88	24	0			240,3036,14407,18876,23402,25562
USA/CA-CDPH-UC28/2020	6	-1.12	305	0			8781,17746,17857,18059,25336,28143
USA/VA-DCLS-0009/2020	6	-0.23	0	0			240,3036,14407,18876,23402,25562
USA/CA-CZB-1197/2020	6	-2.22	0	0			240,1058,3036,14407,23402,25562
USA/CA-CZB-1211/2020	6	-1.88	0	0			899,11082,14804,17246,21574,26143
USA/CA-CZB-1114/2020	6	-4.34	2250	0			8781,17746,17857,18059,27919,28143
France/10015BY/2020	6	-0.23	0	0			240,1058,3036,14407,23402,25562
Australia/VIC987/2020	6	-2.22	475	21		27566-27587	240,1058,3036,14407,23402,25562
USA/WA-UW-604/2020	6	-1.05	0	0			8781,9865,17746,17857,18059,28143
USA/WA-UW-6162/2020	6	-2.36	0	3		21989-21992	4147,8781,17746,17857,18059,28143
Australia/VIC49/2020	6	-0.99	502	0			240,1058,3036,14407,23402,25562
USA/PA_2735/2020	6	-0.64	0	6		513-519	240,3036,14407,18876,23402,25562
USA/NY-PV09152/2020	6	-1.6	236	0			240,3036,14407,18876,23402,25562
USA/NY-PV09153/2020	6	-1.67	76	0			240,1058,3036,14407,23402,25562
USA/NY-CDC-SURV0475NYC/2020	6	-0.78	0	0			240,1058,10850,14407,23402,25562
USA/NY-PV08452/2020	6	-1.4	74	0			240,1058,3036,14407,23402,25562
USA/HI_7881/2020	6	-0.64	1	0			8781,14723,17746,17857,18059,28143
Australia/VIC734/2020	6	-2.22	187	0			8781,17746,17857,18059,24693,28143
Australia/VIC797/2020	6	-2.36	338	0			240,3036,7437,14407,23402,29352
USA/MA_8933/2020	6	-0.51	0	0			240,2415,3036,14407,23402,25562
USA/MI-MDHHS-SC20062/2020	6	-1.67	308	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20072/2020	6	-1.81	843	0			8781,17746,17857,18059,24693,28143
Australia/VIC289/2020	6	-1.67	0	0			240,3036,7437,14407,23402,29352
Australia/VIC1186/2020	6	-3.04	443	0			240,3036,6722,14407,23402,26093
Australia/VIC1199/2020	6	-2.29	232	0			240,1058,3036,14407,23402,25562
Australia/VIC1120/2020	6	-2.84	1659	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20169/2020	6	-0.99	29	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20252/2020	6	-1.67	1068	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20228/2020	6	-1.47	1464	0			240,3036,14407,18876,23402,25562
Australia/VIC713/2020	6	-2.15	524	0			240,1058,3036,14407,23402,25562
Australia/VIC645/2020	6	-2.08	9	0			1075,1396,11082,27963,28687,29741
Australia/VIC630/2020	6	-1.95	143	0			1075,1396,11082,27963,28687,29741
USA/NY-PV09063/2020	6	-1.53	89	0			1624,11082,14804,17246,19165,26143
USA/NY-PV08455/2020	6	-1.33	72	0			240,1058,3036,14407,23402,25562
USA/USA-WA_0442/2020	6	-1.47	0	0			8781,11319,17746,17857,18059,28143
USA/USA-WA_0480/2020	6	-1.47	0	0			8781,11319,17746,17857,18059,28143
USA/PA_4395/2020	6	-0.78	0	0			240,3036,14407,18876,23402,25562
Australia/VIC431/2020	6	-1.88	1947	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20337/2020	6	-1.81	10	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20368/2020	6	-1.05	822	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20389/2020	6	-4.34	1176	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20281/2020	6	-2.01	555	0			240,1058,3036,14407,23402,25562
Australia/VIC05/2020	6	-0.51	246	0			8781,17746,17857,18059,24693,28143
Australia/VIC1008/2020	6	-2.29	193	0			240,3036,14407,15323,23402,25830
Australia/VIC1045/2020	6	-2.49	240	0			240,1058,3036,14407,23402,25562
Australia/VIC207/2020	6	-1.47	2	0			240,1058,3036,14407,23402,25562
Australia/VIC205/2020	6	-1.47	376	0			8781,17746,17857,18059,24693,28143
Australia/VIC241/2020	6	-1.6	18	0			8781,17746,17857,18059,24693,28143
Australia/VIC187/2020	6	-1.47	235	0			209,2479,2557,11082,14804,26143
USA/MI-MDHHS-SC20105/2020	6	-2.08	513	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20110/2020	6	-1.4	1	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20149/2020	6	-1.74	0	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20123/2020	6	-2.01	695	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20095/2020	6	-2.22	849	0			240,1058,3036,14407,23402,25562
USA/MI-MDHHS-SC20097/2020	6	-2.22	552	0			240,1058,3036,14407,23402,25562
France/10078MA/2020	5	-1.23	0	0			240,3036,14407,15323,23402
USA/WA-UW249/2020	5	-2.26	121	0			8781,17746,17857,18059,28143
USA/WA-UW262/2020	5	-2.26	0	0			8781,17746,17857,18059,28143
